isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
XS0260784318,75,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,PSA 100,SDA 50,0.5,6,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.2725605,59.2772386,2059-07-21,pool
XS0260784318,76,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,PSA 100,SDA 50,0.5,6,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.2725605,59.2772386,2059-07-21,pool
XS0260784318,77,0.75766385,0.19045762,0.56720623,0.06,0.0003,-0.38365005,0.19206705,0.0798781,0.0,CPR 0.06,SDA 100,0.2,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127439,5.2751459,59.26681707,2059-07-21,pool
XS0260784318,78,0.75766385,0.19045762,0.56720623,0.06,0.0003,-0.38365005,0.19206705,0.0798781,0.0,CPR 0.06,SDA 100,0.2,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127439,5.2751459,59.26681707,2059-07-21,pool
XS0260784318,79,0.75766385,0.19045762,0.56720623,0.06,0.0003,-0.38365005,0.19206705,0.0798781,0.0,CPR 0.06,SDA 100,0.35,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127439,5.27527644,59.26635999,2059-07-21,pool
XS0260784318,80,0.75766385,0.19045762,0.56720623,0.06,0.0003,-0.38365005,0.19206705,0.0798781,0.0,CPR 0.06,SDA 100,0.35,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127439,5.27527644,59.26635999,2059-07-21,pool
XS0260784318,81,0.75766385,0.19045762,0.56720623,0.06,0.0003,-0.38365005,0.19206705,0.0798781,0.0,CPR 0.06,SDA 100,0.5,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127439,5.27540905,59.26589559,2059-07-21,pool
XS0260784318,82,0.75766385,0.19045762,0.56720623,0.06,0.0003,-0.38365005,0.19206705,0.0798781,0.0,CPR 0.06,SDA 100,0.5,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127439,5.27540905,59.26589559,2059-07-21,pool
XS0260784318,83,0.75766385,0.19045762,0.56720623,0.06,0.0003,-0.38365005,0.19206705,0.0798781,0.0,PSA 100,SDA 100,0.2,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127439,5.2751459,59.26681707,2059-07-21,pool
XS0260784318,84,0.75766385,0.19045762,0.56720623,0.06,0.0003,-0.38365005,0.19206705,0.0798781,0.0,PSA 100,SDA 100,0.2,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127439,5.2751459,59.26681707,2059-07-21,pool
